Source,Exclusive,OBJECTID,Join_Count,TARGET_FID,fid_,store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_grou,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,st_fips,Join_Cou_1,TARGET_F_1,STATEFP,COUNTYFP,GEOID,NAME,NAME_CAP,NAMELSAD,GISJOIN,Cty_ID,GA_AAA
SNAP,SNAP Exclusive,9099,1,54,0,Bentley's Butcher Shop,st_305628,105,E May St,,Winder,GA,30680,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,1,1,1,1,1,1,2013,2018,-83.71741,33.98748,usda,,0,CO,L041934,13,1,9098,13,13,13013,Barrow,BARROW,Barrow County,G1300130,13013,5
SNAP,SNAP Exclusive,9100,1,67,0,Benton Seafood Center Inc,st_077643,605,Baker Hwy W,,Douglas,GA,31533,Seafood Specialty,13,Specialty,5,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-82.85622,31.50114,usda,,0,SE,L167921,13,1,9099,13,69,13069,Coffee,COFFEE,Coffee County,G1300690,13069,11
SNAP,SNAP Exclusive,9101,1,87,0,Bernies,st_303002,1355,John B Gordon St,,Bellville,GA,30414,Convenience Store,3,Small retail,4,0,0,0,0,0,1,1,1,1,1,1,2013,2018,-81.97456,32.15244,usda,,0,CS,L168001,13,1,9100,13,109,13109,Evans,EVANS,Evans County,G1301090,13109,9
SNAP,SNAP Exclusive,9102,1,74,0,Berry Boy Produce NAFNMP,st_373458,186,Jennifer Ln,,Murrayville,GA,30564,Farmers' Market,6,Farmers Market,2,0,0,0,0,0,0,0,1,1,1,1,2015,2018,-83.86189,34.50309,usda,,0,FM,L168016,13,1,9101,13,187,13187,Lumpkin,LUMPKIN,Lumpkin County,G1301870,13187,2
SNAP,SNAP Exclusive,9103,1,158,0,Best For Less,st_275425,1001,Northside Dr NW,,Atlanta,GA,30318,Convenience Store,3,Small retail,4,0,0,0,0,1,1,1,1,1,1,1,2012,2018,-84.40746,33.78188,usda,,0,CS,L168120,13,1,9102,13,121,13121,Fulton,FULTON,Fulton County,G1301210,13121,3
SNAP,SNAP Exclusive,9104,1,97,0,Best Little Store in Georgia,st_238311,619,W Central Ave,,Moultrie,GA,31768,Convenience Store,3,Small retail,4,0,0,0,1,1,1,1,1,1,1,1,2011,2018,-83.79463,31.17989,usda,,0,CS,L039953,13,1,9103,13,71,13071,Colquitt,COLQUITT,Colquitt County,G1300710,13071,10
SNAP,SNAP Exclusive,9105,1,56,0,Best New Orleans Seafood Of Atlanta Llc,st_286782,3757,Covington Hwy,,Decatur,GA,30032,Seafood Specialty,13,Specialty,5,0,0,0,0,1,1,1,1,1,1,1,2012,2018,-84.24561,33.76101,usda,,0,SE,L168157,13,1,9104,13,89,13089,DeKalb,DEKALB,DeKalb County,G1300890,13089,3
SNAP,SNAP Exclusive,9106,1,107,0,Best Quick Stop,st_397150,3909,Hwy 76,,Young Harris,GA,30582,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,0,1,1,1,2016,2018,-83.82631,34.9712,usda,,0,CS,L168178,13,1,9105,13,281,13281,Towns,TOWNS,Towns County,G1302810,13281,2
SNAP,SNAP Exclusive,9107,1,56,0,Best Time,st_360660,545,N Mcdonough St,,Decatur,GA,30030,Small Grocery Store,14,Grocer,1,0,0,0,0,0,0,0,1,1,1,1,2015,2018,-84.29641,33.77438,usda,,0,SG,L168206,13,1,9106,13,89,13089,DeKalb,DEKALB,DeKalb County,G1300890,13089,3
SNAP,SNAP Exclusive,9108,1,19,0,BESY BUY OF FLOVILLA,st_081856,282,Highway 87,,Flovilla,GA,30216,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-83.89889,33.25473,usda,,0,CS,L168244,13,1,9107,13,35,13035,Butts,BUTTS,Butts County,G1300350,13035,4
