store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,st_fips
Quick Change 1,st_367431,3887,Bowens Mill Rd,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,1,1,0,0,2015,2016,-82.87625659,31.52613818,esri,PointAddress,0,NA,L037770,13
QUICK CHANGE FOOD MART,st_182778,1656,US Highway 221 N,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,0,1,0,0,0,0,0,0,0,0,0,2009,2009,-82.81786046,31.52695514,esri,StreetAddress,0,NA,L037771,13
Om Foodmart,st_219344,1656,US Highway 221 N,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,0,0,1,1,1,0,0,0,0,0,0,2010,2012,-82.81786046,31.52695514,esri,StreetAddress,0,NA,L037771,13
Quick Change Food,st_319391,1656,Us Highway 221 N,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,0,0,0,0,0,1,0,0,0,0,0,2013,2013,-82.81786046,31.52695514,esri,StreetAddress,0,NA,L037772,13
BINNY'S EXPRESS,st_215798,1766,US Highway 221 N,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,0,0,1,0,0,0,0,0,0,0,0,2010,2010,-82.81718588,31.52787421,esri,StreetAddress,0,NA,L037773,13
LA CARRETICA,st_222056,6013,GA Highway 32 W,Lot 45,Douglas,GA,31533,Convenience Store,3,Small retail,4,0,0,1,1,0,0,0,0,0,0,0,2010,2011,-82.91741735,31.53459107,esri,StreetAddress,0,NA,L037774,13
SMITH'S MINIT  MART,st_230630,6582,GA Highway 32 W,NA,Douglas,GA,31533,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,0,0,0,0,2010,2014,-82.92565691,31.54005804,esri,PointAddress,0,NA,L037775,13
All American Meats,st_248372,3087,US Highway 441 S,NA,Douglas,GA,31535,Delivery Route,4,Other store,3,0,0,0,1,0,0,0,0,0,0,0,2011,2011,-82.85072174,31.46423586,esri,StreetAddress,0,NA,L037776,13
LOCAL GROWN FARMERS MARKET OF COFFEE COUNTY,st_226678,1204,Bowens Mill Rd.,NA,Douglas,GA,31535,Farmers' Market,6,Local foods,2,0,0,1,1,1,1,1,0,0,0,0,2010,2014,-82.8661801,31.4889436,google,range_interpolated,0,NA,L037777,13
CHRIS CUSTOM CUT MEATS,st_035446,514,Peterson Ave S,NA,Douglas,GA,31533,Meat/Poultry Specialty,9,Specialty,5,1,1,1,1,0,0,0,0,0,0,0,2008,2011,-82.85050252,31.50320676,esri,StreetAddress,0,NA,L037778,13
